,bias_value,num_layers,units_0,units_1,units_2,learning_rate,batch_size,units_3,units_4,units_5,units_6,units_7,val_loss
30,1.0,4,64,96,160,7e-05,4,64.0,,,,,0.0026351669221185
36,1.0,4,224,224,192,5e-05,4,160.0,,,,,0.0028303211438469
1,1.0,4,96,224,160,0.0001,16,192.0,256.0,160.0,32.0,256.0,0.0042320462719847
24,0.7,3,192,256,32,5e-05,48,224.0,160.0,,,,0.0046310412581078
38,1.2,4,160,128,224,7e-05,8,64.0,,,,,0.0046705272980034
41,1.2,4,128,96,128,7e-05,8,128.0,,,,,0.0047692903317511
19,1.0,4,256,256,192,5e-05,16,96.0,224.0,,,,0.0048937674146145
40,1.0,4,96,64,224,0.0001,4,32.0,,,,,0.0055005353642627
37,1.2,4,256,192,192,0.0001,16,96.0,,,,,0.006121204001829
42,1.2,4,64,32,256,7e-05,16,224.0,,,,,0.006274732761085
39,1.2,4,96,256,160,7e-05,4,32.0,,,,,0.0065077398903667
33,1.2,4,160,128,192,0.0001,8,64.0,,,,,0.006575810490176
35,1.2,4,64,160,128,0.0001,4,160.0,,,,,0.0067275583278387
32,1.2,4,96,64,128,7e-05,4,32.0,,,,,0.0069998844992369
43,1.0,4,64,256,128,7e-05,16,224.0,,,,,0.0071973565500229
44,1.0,4,256,160,192,0.0001,4,224.0,,,,,0.0075759117025882
21,1.5,3,96,64,192,5e-05,16,160.0,224.0,,,,0.0077592737507075
34,1.2,4,128,256,32,5e-05,4,192.0,,,,,0.0087276059202849
29,1.0,3,224,160,160,5e-05,48,64.0,32.0,,,,0.0092838467098772
4,0.5,8,128,160,192,0.0001,112,224.0,128.0,224.0,128.0,160.0,0.0099949417635798
12,1.0,3,192,128,256,0.001,128,192.0,224.0,192.0,160.0,64.0,0.0124509679153561
31,1.2,4,64,224,32,5e-05,16,256.0,,,,,0.0133101241663098
22,0.7,5,224,160,224,1e-05,16,192.0,96.0,,,,0.0613787558395415
11,1.0,5,192,64,224,0.0001,112,128.0,160.0,160.0,128.0,160.0,0.1253277741683026
10,0.5,7,160,32,128,0.001,48,192.0,224.0,32.0,192.0,32.0,0.1259195301681757
8,0.5,3,224,256,96,0.01,112,96.0,128.0,32.0,128.0,256.0,0.1321832823256651
27,1.5,3,192,192,192,5e-05,32,128.0,160.0,,,,0.1745645394548773
16,1.5,3,192,32,32,1e-05,32,,,,,,0.1757549721514806
28,1.0,4,64,32,160,0.0001,48,160.0,64.0,,,,0.1851281658746302
7,0.5,7,192,128,224,0.001,16,224.0,224.0,256.0,32.0,128.0,0.2337188677241405
9,0.5,6,224,192,160,0.001,128,96.0,192.0,32.0,256.0,64.0,0.2384470192094644
2,1.0,7,192,32,160,0.01,16,32.0,160.0,96.0,32.0,160.0,0.2571664452552795
0,2.0,8,256,64,160,0.01,16,32.0,32.0,32.0,32.0,32.0,0.2885356843471527
3,0.5,8,192,32,224,0.001,64,224.0,256.0,128.0,64.0,128.0,0.3042302032311757
6,2.0,7,224,256,256,0.001,80,160.0,96.0,160.0,96.0,192.0,0.3161686360836029
5,0.5,4,224,32,192,0.01,48,224.0,160.0,224.0,96.0,96.0,0.3232015570004781
17,1.0,5,160,256,96,1e-05,32,32.0,32.0,,,,0.3280472084879875
13,0.5,6,192,96,32,0.01,64,32.0,32.0,192.0,160.0,64.0,0.3352012832959493
20,1.5,5,32,128,256,5e-05,48,32.0,256.0,,,,0.3510145545005798
14,2.5,6,128,128,128,0.0001,112,192.0,160.0,160.0,128.0,256.0,0.3577501177787781
25,1.0,5,32,128,192,5e-05,32,64.0,160.0,,,,0.3706754893064499
23,1.0,4,64,160,192,1e-05,32,32.0,256.0,,,,0.3710926920175552
26,1.0,5,192,192,96,5e-05,48,64.0,96.0,,,,0.379400685429573
15,1.5,3,192,224,128,1e-05,16,,,,,,0.3833073675632477
18,1.5,3,128,64,160,1e-05,16,256.0,192.0,,,,0.3841026425361633
